environment, algorithm, dicritization, discount, solved, average time
Acrobot-v1, q, 0, 0.01, 218, 408.403670
Acrobot-v1, sarsa, 0, 0.01, 190, 415.463158
Acrobot-v1, q, 0, 0.05, 365, 383.394521
Acrobot-v1, sarsa, 0, 0.05, 310, 389.870968
Acrobot-v1, q, 0, 0.1, 378, 388.542328
Acrobot-v1, sarsa, 0, 0.1, 384, 379.799479
Acrobot-v1, q, 0, 0.2, 438, 380.433790
Acrobot-v1, sarsa, 0, 0.2, 408, 382.227941
Acrobot-v1, q, 0, 0.3, 475, 372.536842
Acrobot-v1, sarsa, 0, 0.3, 460, 381.600000
Acrobot-v1, q, 0, 0.4, 544, 352.992647
Acrobot-v1, sarsa, 0, 0.4, 508, 364.185039
Acrobot-v1, q, 0, 0.5, 570, 366.207018
Acrobot-v1, sarsa, 0, 0.5, 537, 367.564246
Acrobot-v1, q, 0, 0.6, 626, 349.485623
Acrobot-v1, sarsa, 0, 0.6, 545, 356.330275
Acrobot-v1, q, 0, 0.7, 566, 349.939929
Acrobot-v1, sarsa, 0, 0.7, 574, 357.979094
Acrobot-v1, q, 0, 0.8, 620, 338.819355
Acrobot-v1, sarsa, 0, 0.8, 530, 365.492453
Acrobot-v1, q, 0, 0.9, 613, 347.494290
Acrobot-v1, sarsa, 0, 0.9, 605, 347.907438
Acrobot-v1, q, 0, 0.95, 631, 343.397781
Acrobot-v1, sarsa, 0, 0.95, 573, 346.059337
Acrobot-v1, q, 0, 0.99, 649, 334.386749
Acrobot-v1, sarsa, 0, 0.99, 593, 348.738617
Acrobot-v1, q, 1, 0.01, 12, 425.250000
Acrobot-v1, sarsa, 1, 0.01, 18, 412.722222
Acrobot-v1, q, 1, 0.05, 15, 403.400000
Acrobot-v1, sarsa, 1, 0.05, 11, 419.181818
Acrobot-v1, q, 1, 0.1, 15, 421.200000
Acrobot-v1, sarsa, 1, 0.1, 11, 442.636364
Acrobot-v1, q, 1, 0.2, 12, 425.166667
Acrobot-v1, sarsa, 1, 0.2, 13, 423.384615
Acrobot-v1, q, 1, 0.3, 17, 442.470588
Acrobot-v1, sarsa, 1, 0.3, 10, 415.900000
Acrobot-v1, q, 1, 0.4, 24, 438.000000
Acrobot-v1, sarsa, 1, 0.4, 16, 412.562500
Acrobot-v1, q, 1, 0.5, 12, 421.750000
Acrobot-v1, sarsa, 1, 0.5, 20, 421.800000
Acrobot-v1, q, 1, 0.6, 21, 429.380952
Acrobot-v1, sarsa, 1, 0.6, 14, 411.500000
Acrobot-v1, q, 1, 0.7, 12, 427.416667
Acrobot-v1, sarsa, 1, 0.7, 21, 452.380952
Acrobot-v1, q, 1, 0.8, 8, 428.375000
Acrobot-v1, sarsa, 1, 0.8, 15, 438.933333
Acrobot-v1, q, 1, 0.9, 16, 450.687500
Acrobot-v1, sarsa, 1, 0.9, 16, 426.875000
Acrobot-v1, q, 1, 0.95, 16, 416.125000
Acrobot-v1, sarsa, 1, 0.95, 11, 400.363636
Acrobot-v1, q, 1, 0.99, 13, 412.846154
Acrobot-v1, sarsa, 1, 0.99, 17, 417.764706
Acrobot-v1, q, 2, 0.01, 16, 417.062500
Acrobot-v1, sarsa, 2, 0.01, 15, 425.533333
Acrobot-v1, q, 2, 0.05, 15, 428.866667
Acrobot-v1, sarsa, 2, 0.05, 14, 427.000000
Acrobot-v1, q, 2, 0.1, 9, 425.333333
Acrobot-v1, sarsa, 2, 0.1, 17, 443.529412
